Name	Number	Ctf
Gas Can	18	2
TV Wall Mount	18	4
weed eater	18	2
Mops & Brooms	18	2
Bar Chair - tall	18	5
Misc. Garage Items	18	2
Stroller Folding Meduim	18	2
Table Folding	18	3
.ORIGIN - VAN ACCESSIBLE	18	0
Wicker	18	5
Bed frame	18	10
Dresser Normal	18	25
Pet carrier cage	18	10
credenza	18	28
camping supplies	18	10
Plastic Tote	18	4
Headboard/Footboard	18	8
Craddle	18	7
chiminea	18	11
standing mirror	18	9
Book Box	17	0
CART	17	4
Chair-Plastic	17	1
Water cooler	17	6
Barrel	17	5
shredder	17	4
Misc 50 cu	17	51
t.v. table	17	10
hand tools	17	4
Lamp Carton	17	3
Cabinet, Utility	17	17
Dresser - Single 30	17	30
WICKER BASKET	17	1
Outdoor - Swing Set	17	39
Rocking Chair	17	9
fountain	17	14
Edger	17	5
Dresser - Tall	17	35
Bed -- Headboard	17	6
Sofa - Section	17	20
Monitor	17	4
telescope	17	9
washer	17	5
Chair - Occasional / Recliner	17	15
Wine Fridge	16	11
Chair-Whicker	16	4
punching bag	16	13
LCD TV- 46 inch tv	16	15
XMAS TREE	16	5
Milk Crate	16	3
cushions-lawn chair	16	3
Paper Shredder	16	3
Chaise	16	12
Band Saw	16	14
Plastic Toy	16	7
Child's Toy	16	5
speaker	16	6
Exercise Ball	16	1
cabinet, large	16	21
Rug Small	16	2
CUSHIONS	16	1
Tools -- Outdoor/Garden	16	10
misc.	16	15
bed headboard	16	10
Chair Mat	16	2
Bean Bag Chair	16	4
.ORIGIN CARRY < 100'	16	0
golf clubs	16	9
Trampoline - Exercise	16	5
Shelves - small	16	9
Misc HHG Item	16	10
Dog Kennel	16	4
GATE CHILDS	16	1
hammock	16	9
Table coffee	16	6
Antique Stero	16	7
Small cabinet	16	6
Chair-Aluminum	16	1
Tote Box	15	5
SCREEN	15	4
chairs-stack plastic	15	2
Shelves - Wood	15	3
PBO'S 4.5	15	4
Shopping Cart	15	2
Igloo	15	4
Cradle	15	8
.ORIGIN - SHUTTLE	15	0
Desk Table	15	8
Trimmer / Leaf Blower	15	2
bird bath	15	19
File Box	15	3
Rug - 8 x 10	15	10
Patio chair	15	3
Chest of drawers	15	15
Rug small	15	3
jack stand	15	8
totem poles	15	3
Walking Sticks	15	2
Towel Stand	15	1
Camping gear	15	3
Weedeater	15	4
Misc. Items	15	1
Hot Tub - Under 65 Cu Ft	14	386
Workmates	14	4
Copier	14	22
chair	14	2
Bike-Kids	14	3
KAYAK 14' & OVER	14	14
Chair - Wood	14	4
Floor Mat	14	2
Toy Kitchen	14	5
.ORIGIN - APT UNIT	14	0
Bed - Bassinette	14	12
smoker	14	10
Saw - Table	14	20
Cat Tower	14	7
Guitar - In Case	14	2
PBO - 1.5 - (BOOK BOX)	14	5
Wall Unit	14	49
duffel bags	14	4
TV Tray	14	3
Dryer-Electric	14	25
HARVEST TABLE	14	10
bar stool	14	2
Metal Wall Art	14	2
Firebox Insert	14	8
Misc 100 cu	14	198
Luggage Set	14	5
Desk computer	14	15
Fireplace Screen	14	5
Wheel Chair	14	7
Bed -- Footboard	14	2
Cabinet - Wood	14	9
Fishing Pole	14	1
Playset	14	28
canopy	14	4
PBO - 9.0 (WARDROBE)	14	10
crate	14	7
Printer - Desk Top	14	3
Garden tool	14	1
Tote Small	14	2
Arm Chair	14	12
Chaise-Folding	13	10
LCD TV-32	13	10
Radio	13	12
totes empty	13	1
FUTON	13	13
GENERATOR	13	16
pet carrier	13	5
Toy Tub	13	2
Hedge Trimmer	13	2
BEDRAILS	13	5
Bassinet	13	6
Saw horse	13	2
camping equipment	13	5
Pool Table - Comp.	13	24
.FLOORS - TILE	13	0
XMAS Tree	13	7
Chair - Arm / Papasan	13	9
Stereo Components	13	2
Bird Bath	13	9
Cabinet - Large	13	27
Chair - Metal	13	3
trunk	13	9
Chainsaw	13	3
Cot	13	5
PBO - 4.5 (LARGE)	13	5
bed footboard	13	5
edger	13	5
Table - Outdoor	13	9
skis	13	5
Aquarium	13	12
WINE BOTTLES	13	0
SKIS/SNOW BOARD	13	3
Rug - 5 x 7	13	10
duffel bag	13	9
CHINA CABINET	13	40
Self Metal	13	5
snowboard	13	7
Home Gym Built	13	63
magazine rack	13	4
Chimnea	13	7
3.0 carton	13	3
saw	13	14
Bird Bath (Check Weight)	13	8
Outdoor Table	13	7
Armoire - Large	13	38
Chair, Aluminum	13	1
Ice Chest	13	3
Christmas decor	13	5
Cushions	13	4
Cube	13	2
Shelves - Metal Small	13	4
Sofa Chair - Occasional	13	14
dog kennels	13	5
Gun Cabinet	13	11
Bricks	13	9
Jointer	13	12
Basketball hoop	13	14
Case	13	3
Patio table	13	14
Table - Coffee End	13	5
Chair - Beanbag	13	2
Bins	13	3
Plastic Bins	13	4
gate-folding	12	1
milk crates	12	1
Appliances - countertop	12	3
Chair-High	12	5
Wine	12	1
Umbrella-Stand	12	5
Toy Car	12	9
Shoe Shelf	12	3
Valet	12	4
.ORIGIN - DRIVEWAY PAVED	12	0
armoire	12	38
Dining - Table Leaf / Pad	12	2
Piano Bench	12	5
Tote Ctn	12	2
Dog Cage	12	4
SHREDDER	12	1
ice chest	12	4
POTS	12	2
Mat	12	2
AISLE	12	2
Chair Office	12	5
Xmas Tree	12	6
Duffles	12	5
Cage	12	4
Beach Chair	12	3
folding chair	12	1
nothing going	12	0
.IMPORTANT NOTE 2	12	0
.3RD PARTY - ADD TO BILL	12	0
Keyboard w/Stand	12	9
tote medium	12	7
kennel	12	4
Mirror - (Floor type)	12	5
Chair - Leather	12	10
cat box	12	3
BUFFET	12	34
Cart, 3 Drawer Plastic	12	5
ramp	12	4
Table-End	12	5
Desk small	12	12
Box - 1.5 Cu Carton, contents not going	12	0
folding chairs	12	2
Patio Set	12	45
TV	12	8
bassinet	12	4
Misc Boxes	12	3
horse	11	3
UMBRELLA STAND	11	6
Engine	11	51
water cooler	11	8
WAGON	11	4
Heavy Bag	11	7
amp	11	11
Folding table	11	5
Garden hose on reel	11	6
Wall Shelf	11	3
Garden Hose Reel	11	8
Table, Folding	11	5
Bouncy Chair	11	5
Tractor Trailer Access OK	11	0
compressor	11	10
